meal_id,meal_name,cycle_phase,meal_type,dietary_tags,contains_nuts,contains_dairy,contains_gluten,contains_shellfish,contains_eggs,contains_soy,contains_sesame,allergens
MEAL-0001,Iron-Boosted Spinach Omelette,menstrual,breakfast,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0002,Dark Chocolate Overnight Oats,menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0003,Ginger Turmeric Smoothie Bowl,menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0004,Lentil and Spinach Breakfast Bowl,menstrual,breakfast,vegetarian,false,false,false,false,false,false,false,
MEAL-0005,Salmon Avocado Toast,menstrual,breakfast,pescatarian,false,false,true,false,false,false,false,gluten
MEAL-0006,Beetroot and Berry Smoothie,menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0007,Fortified Cereal with Dried Apricots,menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0008,Trail Mix with Dark Chocolate,menstrual,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0009,Ginger Tea with Honey,menstrual,snack,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0010,Beetroot Hummus with Veggies,menstrual,snack,vegan,false,false,false,false,false,false,false,
MEAL-0011,Warm Cinnamon Apple Slices,menstrual,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0012,Energy Date Balls,menstrual,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0013,Molasses and Tahini Dip,menstrual,snack,vegan,false,false,false,false,false,true,true,soy;sesame
MEAL-0014,Spinach and Cheese Muffin,menstrual,snack,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0015,Lentil and Kale Soup,menstrual,lunch,vegan,false,false,false,false,false,false,false,
MEAL-0016,Salmon Teriyaki Rice Bowl,menstrual,lunch,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0017,Spinach and Chickpea Curry,menstrual,lunch,vegan,false,false,false,false,false,false,false,
MEAL-0018,Beef and Broccoli Stir-Fry,menstrual,lunch,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0019,Mediterranean Sardine Salad,menstrual,lunch,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0020,Black Bean and Quinoa Bowl,menstrual,lunch,vegan;gluten_free,false,false,false,false,false,false,false,
MEAL-0021,Liver Pate Sandwich,menstrual,lunch,dairy_free,false,false,true,false,false,false,false,gluten
MEAL-0022,Lamb and Lentil Stew,menstrual,dinner,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0023,Baked Salmon with Sweet Potato,menstrual,dinner,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0024,Dark Chocolate Chili Con Carne,menstrual,dinner,gluten_free,false,false,false,false,false,false,false,
MEAL-0025,Tofu and Mushroom Ramen,menstrual,dinner,vegan,false,false,false,false,false,true,false,soy
MEAL-0026,Chicken Liver Pate with Crostini,menstrual,dinner,dairy_free,false,false,true,false,false,false,false,gluten
MEAL-0027,Venison Steak with Red Cabbage,menstrual,dinner,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0028,Mussels in White Wine Sauce,menstrual,dinner,pescatarian,false,false,false,true,false,false,false,shellfish
MEAL-0029,Protein Pancakes with Berries,follicular,breakfast,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0030,Scrambled Eggs with Smoked Turkey,follicular,breakfast,dairy_free,false,false,false,false,true,false,false,eggs
MEAL-0031,Acai Berry Bowl,follicular,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0032,Quinoa Breakfast Porridge,follicular,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0033,Greek Yogurt Parfait,follicular,breakfast,vegetarian;gluten_free,false,true,false,false,true,false,false,dairy;eggs
MEAL-0034,Egg White Veggie Scramble,follicular,breakfast,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
MEAL-0035,Cottage Cheese and Fruit Bowl,follicular,breakfast,vegetarian;gluten_free,false,true,false,false,true,false,false,dairy;eggs
MEAL-0036,Boiled Eggs and Cherry Tomatoes,follicular,snack,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
MEAL-0037,Berries and Almond Butter,follicular,snack,vegan;gluten_free,true,false,false,false,false,true,false,nuts;soy
MEAL-0038,Chicken Jerky Strips,follicular,snack,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0039,Edamame with Sea Salt,follicular,snack,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0040,Protein Smoothie,follicular,snack,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
MEAL-0041,Turkey Roll-Ups,follicular,snack,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0042,Rice Cake with Tuna,follicular,snack,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0043,Grilled Chicken Quinoa Bowl,follicular,lunch,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0044,Tuna Nicoise Salad,follicular,lunch,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0045,Turkey and Avocado Wrap,follicular,lunch,dairy_free,false,false,false,false,false,false,false,
MEAL-0046,Egg Fried Rice with Vegetables,follicular,lunch,vegetarian;dairy_free,false,false,false,false,true,false,false,eggs
MEAL-0047,Chicken Caesar Salad,follicular,lunch,omnivore,false,true,false,false,false,false,false,dairy
MEAL-0048,Prawn Stir-Fry Noodles,follicular,lunch,pescatarian;dairy_free,false,false,false,true,false,false,false,shellfish
MEAL-0049,Greek Chicken Souvlaki Bowl,follicular,lunch,omnivore,false,false,false,false,false,false,false,
MEAL-0050,Grilled Steak with Asparagus,follicular,dinner,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0051,Chicken Stir-Fry with Cashews,follicular,dinner,dairy_free,true,false,false,false,false,false,false,nuts
MEAL-0052,Baked Cod with Herbed Couscous,follicular,dinner,pescatarian;dairy_free,false,false,true,false,false,false,false,gluten
MEAL-0053,Turkey Meatballs with Pasta,follicular,dinner,dairy_free,false,false,true,false,false,false,false,gluten
MEAL-0054,Prawn and Vegetable Curry,follicular,dinner,pescatarian;gluten_free,false,false,false,true,false,false,false,shellfish
MEAL-0055,Chicken and Sweet Potato Bake,follicular,dinner,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0056,Salmon Pasta Bake,follicular,dinner,pescatarian,false,false,true,false,false,false,false,gluten
MEAL-0057,Green Goddess Smoothie,ovulation,breakfast,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0058,Avocado Toast with Pumpkin Seeds,ovulation,breakfast,vegan,false,false,true,false,false,true,false,gluten;soy
MEAL-0059,Nut and Seed Granola Bowl,ovulation,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0060,Smoked Salmon Bagel,ovulation,breakfast,pescatarian,false,false,true,false,false,false,false,gluten
MEAL-0061,Spinach and Mushroom Frittata,ovulation,breakfast,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
MEAL-0062,Pumpkin Seed Butter on Toast,ovulation,breakfast,vegan,false,false,true,false,false,true,false,gluten;soy
MEAL-0063,Shellfish Omelette,ovulation,breakfast,pescatarian;gluten_free,false,false,false,true,true,false,false,shellfish;eggs
MEAL-0064,Oyster Mushroom Crisps,ovulation,snack,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0065,Mixed Nuts and Seeds,ovulation,snack,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0066,Kale Chips with Tahini,ovulation,snack,vegan;gluten_free,false,false,false,false,false,true,true,soy;sesame
MEAL-0067,Cucumber and Sesame Bites,ovulation,snack,vegan;gluten_free,false,false,false,false,false,true,true,soy;sesame
MEAL-0068,Pomegranate and Pistachio Mix,ovulation,snack,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0069,Cashew and Cacao Bites,ovulation,snack,vegan;gluten_free,true,false,false,false,false,true,false,nuts;soy
MEAL-0070,Seaweed Snack Pack,ovulation,snack,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0071,Prawn and Avocado Salad,ovulation,lunch,pescatarian;gluten_free,false,false,false,true,false,false,false,shellfish
MEAL-0072,Spinach and Walnut Pesto Pasta,ovulation,lunch,vegetarian,true,false,true,false,true,false,false,nuts;gluten;eggs
MEAL-0073,Grilled Lamb Chop Salad,ovulation,lunch,gluten_free,false,false,false,false,false,false,false,
MEAL-0074,Sushi Bowl with Edamame,ovulation,lunch,pescatarian;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0075,Roasted Beetroot and Goat Cheese Salad,ovulation,lunch,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
MEAL-0076,Crab and Corn Chowder,ovulation,lunch,pescatarian;gluten_free,false,false,false,true,false,false,false,shellfish
MEAL-0077,Chickpea and Pumpkin Seed Salad,ovulation,lunch,vegan;gluten_free,false,false,false,false,false,false,false,
MEAL-0078,Grilled Oysters with Lemon,ovulation,dinner,pescatarian;gluten_free,false,false,false,true,false,false,false,shellfish
MEAL-0079,Roasted Chicken with Root Vegetables,ovulation,dinner,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0080,Sesame-Crusted Tuna Steak,ovulation,dinner,pescatarian;dairy_free,false,false,false,false,false,false,true,sesame
MEAL-0081,Stuffed Bell Peppers,ovulation,dinner,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0082,Lamb Kofta with Tabbouleh,ovulation,dinner,omnivore,false,false,true,false,false,false,false,gluten
MEAL-0083,Crab Linguine,ovulation,dinner,pescatarian;dairy_free,false,false,true,true,false,false,false,gluten;shellfish
MEAL-0084,Beef and Cashew Stir-Fry,ovulation,dinner,dairy_free,true,false,false,false,false,false,false,nuts
MEAL-0085,Sweet Potato and Banana Smoothie,luteal,breakfast,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0086,Banana Oat Pancakes,luteal,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0087,Brown Rice Pudding with Cardamom,luteal,breakfast,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0088,Chickpea Flour Pancakes (Socca),luteal,breakfast,vegan;gluten_free,false,false,false,false,false,false,false,
MEAL-0089,Warm Millet Porridge,luteal,breakfast,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0090,Buckwheat Crepes with Banana,luteal,breakfast,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0091,Avocado and Black Bean Breakfast Tacos,luteal,breakfast,vegan;gluten_free,false,false,false,false,false,false,false,
MEAL-0092,Dark Chocolate and Banana,luteal,snack,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0093,Roasted Chickpeas,luteal,snack,vegan;gluten_free,false,false,false,false,false,false,false,
MEAL-0094,Yogurt with Sunflower Seeds,luteal,snack,vegetarian;gluten_free,false,true,false,false,true,false,false,dairy;eggs
MEAL-0095,Banana and Walnut Muffin,luteal,snack,vegetarian,true,false,false,false,true,false,false,nuts;eggs
MEAL-0096,Chamomile Tea with Almond Milk,luteal,snack,vegan;gluten_free,true,false,false,false,false,true,false,nuts;soy
MEAL-0097,Pumpkin Seed Clusters,luteal,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0098,Frozen Banana Bites,luteal,snack,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0099,Sweet Potato and Black Bean Bowl,luteal,lunch,vegan;gluten_free,false,false,false,false,false,false,false,
MEAL-0100,Chickpea and Brown Rice Salad,luteal,lunch,vegan;gluten_free,false,false,false,false,false,false,false,
MEAL-0101,Turkey and Sweet Potato Wrap,luteal,lunch,dairy_free,false,false,false,false,false,false,false,
MEAL-0102,Mushroom and Barley Soup,luteal,lunch,vegan,false,false,true,false,false,true,false,gluten;soy
MEAL-0103,Baked Falafel Bowl,luteal,lunch,vegan,false,false,false,false,false,false,false,
MEAL-0104,Lentil Dhal with Wholegrain Naan,luteal,lunch,vegan,false,false,true,false,false,false,false,gluten
MEAL-0105,Brown Rice Sushi Rolls,luteal,lunch,vegan,false,false,false,false,false,true,false,soy
MEAL-0106,Banana Curry with Brown Rice,luteal,dinner,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0107,Stuffed Sweet Potatoes,luteal,dinner,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0108,Salmon with Brown Rice and Broccoli,luteal,dinner,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0109,Chicken and Chickpea Tagine,luteal,dinner,dairy_free,false,false,false,false,false,false,false,
MEAL-0110,Pumpkin and Sage Risotto,luteal,dinner,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
MEAL-0111,Black Bean Enchiladas,luteal,dinner,vegetarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0112,Tofu and Vegetable Pad Thai,luteal,dinner,vegan,false,false,false,false,false,true,false,soy
MEAL-0113,Iron-Boosted Spinach Omelette (Light Version),menstrual,breakfast,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0114,Dark Chocolate Overnight Oats (High Protein),menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0115,Ginger Turmeric Smoothie Bowl (Quick Prep),menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0116,Lentil and Spinach Breakfast Bowl (Family Size),menstrual,breakfast,vegetarian,false,false,false,false,false,false,false,
MEAL-0117,Salmon Avocado Toast (Low Carb),menstrual,breakfast,pescatarian,false,false,true,false,false,false,false,gluten
MEAL-0118,Beetroot and Berry Smoothie (Seasonal),menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0119,Fortified Cereal with Dried Apricots (Light Version),menstrual,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0120,Trail Mix with Dark Chocolate (High Protein),menstrual,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0121,Ginger Tea with Honey (Quick Prep),menstrual,snack,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0122,Beetroot Hummus with Veggies (Family Size),menstrual,snack,vegan,false,false,false,false,false,false,false,
MEAL-0123,Warm Cinnamon Apple Slices (Low Carb),menstrual,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0124,Energy Date Balls (Seasonal),menstrual,snack,vegan,false,false,false,false,false,true,false,soy
MEAL-0125,Molasses and Tahini Dip (Light Version),menstrual,snack,vegan,false,false,false,false,false,true,true,soy;sesame
MEAL-0126,Spinach and Cheese Muffin (High Protein),menstrual,snack,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0127,Lentil and Kale Soup (Quick Prep),menstrual,lunch,vegan,false,false,false,false,false,false,false,
MEAL-0128,Salmon Teriyaki Rice Bowl (Family Size),menstrual,lunch,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0129,Spinach and Chickpea Curry (Low Carb),menstrual,lunch,vegan,false,false,false,false,false,false,false,
MEAL-0130,Beef and Broccoli Stir-Fry (Seasonal),menstrual,lunch,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0131,Mediterranean Sardine Salad (Light Version),menstrual,lunch,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0132,Black Bean and Quinoa Bowl (High Protein),menstrual,lunch,vegan;gluten_free,false,false,false,false,false,false,false,
MEAL-0133,Liver Pate Sandwich (Quick Prep),menstrual,lunch,dairy_free,false,false,true,false,false,false,false,gluten
MEAL-0134,Lamb and Lentil Stew (Family Size),menstrual,dinner,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0135,Baked Salmon with Sweet Potato (Low Carb),menstrual,dinner,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0136,Dark Chocolate Chili Con Carne (Seasonal),menstrual,dinner,gluten_free,false,false,false,false,false,false,false,
MEAL-0137,Tofu and Mushroom Ramen (Light Version),menstrual,dinner,vegan,false,false,false,false,false,true,false,soy
MEAL-0138,Chicken Liver Pate with Crostini (High Protein),menstrual,dinner,dairy_free,false,false,true,false,false,false,false,gluten
MEAL-0139,Venison Steak with Red Cabbage (Quick Prep),menstrual,dinner,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0140,Mussels in White Wine Sauce (Family Size),menstrual,dinner,pescatarian,false,false,false,true,false,false,false,shellfish
MEAL-0141,Protein Pancakes with Berries (Low Carb),follicular,breakfast,vegetarian,false,false,false,false,true,false,false,eggs
MEAL-0142,Scrambled Eggs with Smoked Turkey (Seasonal),follicular,breakfast,dairy_free,false,false,false,false,true,false,false,eggs
MEAL-0143,Acai Berry Bowl (Light Version),follicular,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0144,Quinoa Breakfast Porridge (High Protein),follicular,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0145,Greek Yogurt Parfait (Quick Prep),follicular,breakfast,vegetarian;gluten_free,false,true,false,false,true,false,false,dairy;eggs
MEAL-0146,Egg White Veggie Scramble (Family Size),follicular,breakfast,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
MEAL-0147,Cottage Cheese and Fruit Bowl (Low Carb),follicular,breakfast,vegetarian;gluten_free,false,true,false,false,true,false,false,dairy;eggs
MEAL-0148,Boiled Eggs and Cherry Tomatoes (Seasonal),follicular,snack,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
MEAL-0149,Berries and Almond Butter (Light Version),follicular,snack,vegan;gluten_free,true,false,false,false,false,true,false,nuts;soy
MEAL-0150,Chicken Jerky Strips (High Protein),follicular,snack,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0151,Edamame with Sea Salt (Quick Prep),follicular,snack,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0152,Protein Smoothie (Family Size),follicular,snack,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
MEAL-0153,Turkey Roll-Ups (Low Carb),follicular,snack,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0154,Rice Cake with Tuna (Seasonal),follicular,snack,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0155,Grilled Chicken Quinoa Bowl (Light Version),follicular,lunch,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0156,Tuna Nicoise Salad (High Protein),follicular,lunch,pescatarian;gluten_free,false,false,false,false,false,false,false,
MEAL-0157,Turkey and Avocado Wrap (Quick Prep),follicular,lunch,dairy_free,false,false,false,false,false,false,false,
MEAL-0158,Egg Fried Rice with Vegetables (Family Size),follicular,lunch,vegetarian;dairy_free,false,false,false,false,true,false,false,eggs
MEAL-0159,Chicken Caesar Salad (Low Carb),follicular,lunch,omnivore,false,true,false,false,false,false,false,dairy
MEAL-0160,Prawn Stir-Fry Noodles (Seasonal),follicular,lunch,pescatarian;dairy_free,false,false,false,true,false,false,false,shellfish
MEAL-0161,Greek Chicken Souvlaki Bowl (Light Version),follicular,lunch,omnivore,false,false,false,false,false,false,false,
MEAL-0162,Grilled Steak with Asparagus (High Protein),follicular,dinner,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0163,Chicken Stir-Fry with Cashews (Quick Prep),follicular,dinner,dairy_free,true,false,false,false,false,false,false,nuts
MEAL-0164,Baked Cod with Herbed Couscous (Family Size),follicular,dinner,pescatarian;dairy_free,false,false,true,false,false,false,false,gluten
MEAL-0165,Turkey Meatballs with Pasta (Low Carb),follicular,dinner,dairy_free,false,false,true,false,false,false,false,gluten
MEAL-0166,Prawn and Vegetable Curry (Seasonal),follicular,dinner,pescatarian;gluten_free,false,false,false,true,false,false,false,shellfish
MEAL-0167,Chicken and Sweet Potato Bake (Light Version),follicular,dinner,gluten_free;dairy_free,false,false,false,false,false,false,false,
MEAL-0168,Salmon Pasta Bake (High Protein),follicular,dinner,pescatarian,false,false,true,false,false,false,false,gluten
MEAL-0169,Green Goddess Smoothie (Quick Prep),ovulation,breakfast,vegan;gluten_free,false,false,false,false,false,true,false,soy
MEAL-0170,Avocado Toast with Pumpkin Seeds (Family Size),ovulation,breakfast,vegan,false,false,true,false,false,true,false,gluten;soy
MEAL-0171,Nut and Seed Granola Bowl (Low Carb),ovulation,breakfast,vegan,false,false,false,false,false,true,false,soy
MEAL-0172,Smoked Salmon Bagel (Seasonal),ovulation,breakfast,pescatarian,false,false,true,false,false,false,false,gluten
MEAL-0173,Spinach and Mushroom Frittata (Light Version),ovulation,breakfast,vegetarian;gluten_free,false,false,false,false,true,false,false,eggs
